Timestamp,Age,Gender,Highest level of Education,Marital status,No of children,"If married, does the spouse do a job?",Monthly salary,Working experiences,Travel distance (KM),Traveling mode,Type of Industry,Type of current working arrangement,Employment,Division,Working hours,I value the people I work with.,I enjoy working with the people at my job.,I get along well with the people at my job.,I have a relationship of trust with the people at my job., I find my job exciting.,I like my job.,I am proud of the job I have.,I find meaning in my work.,I know I am capable of doing my job., I feel confident at work.,I feel effective and competent in my work.,I feel that my work is recognized., I feel that my work efforts are appreciated.,I feel that the people I work with recognize my abilities.,I want to take initiative in my work.,I care about the good functioning of my organization.,I want to contribute to achieving the goals of my organization.,average_score
15/07/2022 13:38:58,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,Prefer not to say,5 - 10 years,Between 20 - 40,Public transport,IT,Online,Permanent,RnD,7 - 9,4,4,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4.294117647
15/07/2022 13:41:26,26-30,Female,BSc,Not Married,Not Applicable,No,"Above 400,000",3 - 5 years,Between 10 - 20,Personal vehicle,IT,Online,Permanent,RnD,9 - 12,4,3,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,4.235294118
15/07/2022 13:51:10,35-40,Male,MSc,Married,Not Applicable,Yes,"Above 400,000",10 - 15 years,Between 20 - 40,Personal vehicle,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15/07/2022 13:52:52,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Between 10 - 20,Office transport,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,4.647058824
15/07/2022 13:54:07,26-30,Female,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,Less than 10,Public transport,IT,Online,Permanent,RnD,7 - 9,4,4,3,4,3,3,4,4,4,4,4,3,2,3,4,4,4,3.588235294
15/07/2022 13:56:18,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",less than 2 years,Less than 10,Office transport,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15/07/2022 13:57:52,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",5 - 10 years,Between 40 - 60,Office transport,IT,Online,Permanent,Support ,9 - 12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.941176471
15/07/2022 13:57:55,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",less than 2 years,Between 10 - 20,Office transport,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4.941176471
15/07/2022 14:51:56,26-30,Female,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,More than 60,Public transport,IT,Online,Permanent,RnD,More than 12,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4.764705882
15/07/2022 14:58:33,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",3 - 5 years,More than 60,Public transport,IT,Online,Contract,RnD,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4.941176471
15/07/2022 15:09:20,26-30,Prefer not to say,BSc,Prefer not to say,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Between 10 - 20,Office transport,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,5,3,5,5,5,5,5,5,5,5,2,3,3,4.470588235
15/07/2022 15:44:43,31-35,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",5 - 10 years,Less than 10,Personal vehicle,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,4,4,5,4,5,4,4,4,4,4,5,5,5,4.529411765
15/07/2022 15:53:41,26-30,Female,MSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,More than 60,Personal vehicle,IT,Online,Permanent,,9 - 12,5,4,5,5,3,4,4,4,5,5,4,4,4,4,4,5,4,4.294117647
15/07/2022 16:01:46,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Between 10 - 20,Office transport,IT,Online,Permanent,RnD,7 - 9,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,4.705882353
15/07/2022 16:03:01,26-30,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,More than 60,Personal vehicle,IT,Online,Permanent,customer-support,7 - 9,4,4,3,4,4,4,4,5,4,5,4,4,4,4,4,5,5,4.176470588
15/07/2022 16:45:53,26-30,Female,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,Between 10 - 20,Personal vehicle,IT,Online,Permanent,RnD,9 - 12,5,4,4,4,4,4,5,3,3,3,3,4,4,4,5,5,5,4.058823529
15/07/2022 17:06:25,26-30,Male,BSc,Married,1,No,Prefer not to say,5 - 10 years,Between 40 - 60,Public transport,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15/07/2022 20:20:39,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Less than 10,Personal vehicle,IT,Online,Contract,RnD,7 - 9,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4.352941176
15/07/2022 21:41:20,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Less than 10,Public transport,IT,Online,Permanent,RnD,7 - 9,5,4,4,4,3,4,4,3,4,4,5,5,5,5,4,5,5,4.294117647
16/07/2022 09:58:23,31-35,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",5 - 10 years,Between 20 - 40,Office transport,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,4.764705882
16/07/2022 10:55:53,26-30,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,Between 40 - 60,Personal vehicle,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,4,4,3,4,5,5,4,5,5,5,4,5,5,4.588235294
17/07/2022 16:35:43,31-35,Male,MSc,Married,Not Applicable,Yes,"Above 400,000",5 - 10 years,Between 10 - 20,Office transport,IT,Online,Permanent,RnD,9 - 12,5,4,4,5,4,5,5,5,5,5,5,3,3,3,5,5,5,4.470588235
18/07/2022 09:01:48,31-35,Male,BSc,Married,Not Applicable,No,"Above 400,000",5 - 10 years,Between 20 - 40,Office transport,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.941176471
19/07/2022 11:53:11,31-35,Male,BSc,Married,Not Applicable,Yes,Prefer not to say,5 - 10 years,Between 20 - 40,Public transport,IT,Online,Permanent,RnD,9 - 12,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,4,4.235294118
19/07/2022 11:53:27,20-25,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",less than 2 years,Less than 10,Personal vehicle,IT,Online,Permanent,Dev ops,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19/07/2022 11:53:44,31-35,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",5 - 10 years,More than 60,Public transport,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19/07/2022 11:57:15,31-35,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",5 - 10 years,Between 40 - 60,Personal vehicle,IT,Online,Permanent,Development,9 - 12,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3.058823529
19/07/2022 11:58:13,20-25,Female,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",less than 2 years,Between 40 - 60,Public transport,IT,Online,Permanent,Dev ops,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19/07/2022 12:09:53,26-30,Male,BSc,Married,1,No,"Above 400,000",3 - 5 years,More than 60,Public transport,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.235294118
19/07/2022 13:02:03,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Between 20 - 40,Office transport,IT,Online,Permanent,RnD,9 - 12,4,4,5,4,3,4,4,4,5,4,5,4,3,4,4,5,4,4.117647059
19/07/2022 13:44:22,26-30,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,Between 40 - 60,Public transport,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,5,5,4.705882353
19/07/2022 14:30:49,26-30,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,More than 60,Public transport,IT,Online,Permanent,RnD,7 - 9,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,4,4,4.529411765
19/07/2022 20:09:57,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",less than 2 years,More than 60,Public transport,IT,Online,Permanent,RnD,9 - 12,4,4,4,4,3,4,5,4,4,3,3,3,4,3,4,5,5,3.882352941
19/07/2022 20:39:18,26-30,Female,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",5 - 10 years,Between 10 - 20,Public transport,IT,Online,Permanent,RnD,More than 12,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4.882352941
20/07/2022 09:17:40,26-30,Female,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Less than 10,Walking,IT,Online,Permanent,SRE,9 - 12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20/07/2022 09:22:46,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",3 - 5 years,Between 10 - 20,Public transport,IT,Online,Permanent,IT,9 - 12,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4.823529412
20/07/2022 09:27:58,31-35,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",5 - 10 years,Between 10 - 20,Personal vehicle,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,5,4.588235294
20/07/2022 09:29:28,26-30,Female,BSc,Married,Not Applicable,Yes,"Above 400,000",3 - 5 years,Between 10 - 20,Personal vehicle,IT,Online,Permanent,RnD,9 - 12,5,5,5,5,4,4,5,4,4,4,4,4,4,4,5,5,5,4.470588235
20/07/2022 09:34:40,26-30,Male,MSc,Married,Not Applicable,Yes,Prefer not to say,3 - 5 years,Less than 10,Personal vehicle,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20/07/2022 10:21:02,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",less than 2 years,More than 60,Public transport,IT,Online,Permanent,RnD,7 - 9,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,4.764705882
20/07/2022 10:37:49,31-35,Male,BSc,Married,Not Applicable,No,"200,000 - 400,000",5 - 10 years,Between 10 - 20,Public transport,IT,Online,Permanent,Marketing,7 - 9,4,4,4,3,4,5,4,4,4,4,5,4,4,3,4,4,5,4.058823529
20/07/2022 10:59:29,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"200,000 - 400,000",5 - 10 years,Between 10 - 20,Personal vehicle,IT,Online,Permanent,Dev ops,7 - 9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20/07/2022 13:00:31,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,Prefer not to say,less than 2 years,Between 20 - 40,Public transport,IT,Work shift,Permanent,RnD,7 - 9,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4.764705882
20/07/2022 13:58:42,31-35,Male,BSc,Married,Not Applicable,Yes,"Above 400,000",5 - 10 years,Between 10 - 20,Personal vehicle,IT,Online,Permanent,RnD,7 - 9,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4.176470588
22/07/2022 11:09:40,26-30,Male,BSc,Not Married,Not Applicable,Not Applicable,"Above 400,000",3 - 5 years,Between 10 - 20,Not Applicable,IT,Online,Permanent,RnD,7 - 9,5,4,5,4,4,4,5,4,5,5,5,3,4,3,5,5,5,4.411764706